Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
EOA,G,30257,1948,Lightning,BLM,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Lightning,BLM,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,7
NOA,A,0.1,0.1,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 1 Fire Season Only,58,7
SOA,A,0.1,0,Lightning,USFS,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,7
NOA,A,0.01,0.01,Human,State,Clatsop,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,52,7
SOA,A,0.01,0.01,Human,County,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.25,0.25,Human,Small Woodlands,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,5
EOA,B,1.5,1.5,Lightning,Small Woodlands,Deschutes,Reg Use Closure,Lvl 3 Restricted Shutdown,95,7
NOA,B,1.5,1.5,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 1 Fire Season Only,58,9
SOA,A,0.1,0.1,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,78,3
NOA,B,,1,Human,Rural Residential,Clackamas,,,58,6
SOA,B,1,1,Human,Small Woodlands,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,4
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,8
EOA,A,0.01,0.01,Human,Rural Residential,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,7
EOA,A,0.01,0.01,Lightning,Other Private,Baker,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,A,0.1,0.1,Lightning,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,9
SOA,A,0.1,0.1,Human,BLM,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,8
SOA,A,0.01,0.01,Human,County,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,6
EOA,E,946,0,Human,Other Private,Crook,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
SOA,A,0.02,0.02,Human,BLM,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
